Time,Doing
0.00049,Философ 1 думает
2.00242,Философ 1 берет правую вилку
2.00248,Философ 1 берет левую вилку
2.00249,Философ 1 ест
4.00314,Философ 1 кладет левую вилку
4.0032,Философ 1 кладет правую вилку
4.00321,Философ 1 думает
6.00431,Философ 1 берет правую вилку
6.0072,Философ 1 берет левую вилку
6.00723,Философ 1 ест
8.00797,Философ 1 кладет левую вилку
8.00799,Философ 1 кладет правую вилку
8.008,Философ 1 думает
10.01034,Философ 1 берет правую вилку
12.01075,Философ 1 берет левую вилку
12.01077,Философ 1 ест
14.0129,Философ 1 кладет левую вилку
14.01297,Философ 1 кладет правую вилку
14.01301,Философ 1 думает
16.01464,Философ 1 берет правую вилку
16.01691,Философ 1 берет левую вилку
16.01693,Философ 1 ест
18.01901,Философ 1 кладет левую вилку
18.01903,Философ 1 кладет правую вилку
18.01904,Философ 1 думает
20.02114,Философ 1 берет правую вилку
22.01925,Философ 1 берет левую вилку
22.01931,Философ 1 ест
24.02212,Философ 1 кладет левую вилку
24.02219,Философ 1 кладет правую вилку
